ORIGEN,DESTINO,CANTI,FOBDOL,FOBPES
ABW,3,4325,1384,5627053
ABW,3,3280,1459,5931174
ABW,3,6160,1544,6231726
ABW,3,804,427,1724647
ABW,3,268,57,229958
ABW,3,536,114,459917
ABW,3,7767,1677,6772023
ABW,3,105,997,4024150
ABW,3,1,2003,8020934
ABW,3,90,184,741135
ABW,3,75,170,683459
ABW,3,252,549,2211129
ABW,3,29600,44566,178966386
ABW,3,1160,162,662844
ABW,3,5700,1896,7603896
ABW,3,1280,323,1316953
ABW,3,4850,2600,10443844
ABW,3,100,18,74119
ABW,3,2700,1314,5273260
ABW,3,255,150,613091
ABW,3,2584,2764,11073408
ABW,3,212,3742,15156034
ABW,3,30,61,250901
ABW,3,25,57,231339
ABW,3,84,183,749142
ABW,3,62,239,950047
ABW,3,2,23,89599
ABW,3,67,357,1417756
ABW,3,8,40,160395
ABW,3,1058,5150,20470243
ABW,3,10,61,244055
ABW,3,105,57,225027
ABW,3,27,183,728701
ABW,3,560,466202,1869878521
BIH,3,800,136,552947
BIH,3,400,60,242158
BIH,3,800,115,466753
BIH,3,39910,11157,44350079
BIH,3,11700,1404,5581026
AIA,3,2,1730,6885285
ATG,3,2,366,1465051
ATG,3,70,5255,21044908
ATG,3,232,4580,18344456
ATG,3,6,426,1707597
ATG,3,6,279,1117412
ATG,3,150,2058,8241212
ATG,3,20,880,3523572
ATG,3,116,4927,19734132
ATG,3,158,2353,9425268
ATG,3,41,2831,11337324
ATG,3,142,1394,5581692
ATG,3,6,115,460181
SAU,3,4968,3372,13801301
SAU,3,1400,900,3654135
SAU,3,4800,576,2329638
SAU,3,26619,20228,82469404
SAU,3,602,4409,17882806
SAU,3,120,485,1921539
SAU,3,46,272,1077536
SAU,3,40,183,725333
SAU,3,53,222,878961
SAU,3,81,250,989902
SAU,3,25,148,588590
SAU,3,57,290,1151219
SAU,3,20,90,356721
SAU,3,3180,2203,8942886
SAU,3,3934,3390,13606905
SAU,3,85,744,2968478
SAU,3,13450,4754,19573534
SAU,3,2400,456,1877676
SAU,3,300,96,395300
SAU,3,800,256,1054134
SAU,3,1290,1258,5182138
SAU,3,1000,334,1375315
SAU,3,1430,4050,16676726
SAU,3,1,13078,53323456
SAU,3,89,10548,42690940
SAU,3,10,7832,31131315
SAU,3,12960,65027,259449779
SAU,3,28,80,323756
SAU,3,10880,36260,147985018
SAU,3,90,398,1638516
SAU,3,300,754,3080697
SAU,3,98,129,524571
SAU,3,60,340,1399105
SAU,3,375,2007,8206320
SAU,3,76,263,1074211
SAU,3,2720,25845,104559259
SAU,3,7970,35930,142824984
SAU,3,1440,20640,82686730
SAU,3,2,3796,15089442
SAU,3,70,568,2292761
ARG,3,25480,2548,10099176
ARG,3,31650,9234,37787552
ARG,3,26200,5134,20726933
ARG,3,58800,10022,39837358
ARG,3,80,1210,4893857
ARG,3,150,5965,24410748
ARG,3,24,25290,102601757
ARG,3,6,7299,28931286
ARG,3,278,3414,14054038
ARG,3,441,5918,23890799
ARG,3,960,20723,83703340
ARG,3,4,2540,10173413
ARG,3,73,1328,5363044
ARG,3,9533,68659,279952219
ARG,3,3,4516,18230416
ARG,3,1,959,3880814
ARG,3,2,5906,23842554
ARG,3,4,620,2501039
ARG,3,1,200,805419
ARG,3,1,228,921448
ARG,3,1700,102,405459
ARG,3,10,63,255150
ARG,3,2,2,9851
ARG,3,10,2124,8573498
ARG,3,0,18,70974
ARG,3,126,8,30052
ARG,3,0,38,151435
ARG,3,24,1532,6183481
ARG,3,0,46,184500
ARG,3,0,0,1938
ARG,3,2,6747,27238033
ARG,3,1,20810,84013924
ARG,3,0,41,166736
ARG,3,0,40,159004
ARG,3,0,35,137777
ARG,3,0,75,298132
ARG,3,5,23,95531
ARG,3,4200,214,864046
ARG,3,13150,1788,7214102
ARG,3,400,306,1234352
ARG,3,14875,4418,17821461
ARG,3,6125,674,2717793
ARG,3,880,510,2058867
ARG,3,10120,2366,9557932
ARG,3,16975,1867,7688794
ARG,3,1,34,137789
ARG,3,10,134,540176
ARG,3,2,830,3352402
ARG,3,28,2584,10432705
ARG,3,1,240,967109
ARG,3,11,1450,5854208
ARG,3,1,2922,11795256
ARG,3,17,1117,4509259
ARG,3,3,212,856046
ARG,3,2,200,806065
ARG,3,5,2479,10144068
ARG,3,5000,24000,97068240
ARG,3,112000,3252,13307930
ARG,3,33,75,304772
ARG,3,125,92,375801
ARG,3,0,222,903459
ARG,3,238,923,3698433
ARG,3,2290,1903119,7637141251
AUS,3,1980,302,1237398
AUS,3,3080,862,3428118
AUS,3,6450,3753,15358514
AUS,3,34,3316,13201494
AUS,3,5,1168,4651015
AUS,3,4,1280,5095258
AUS,3,5,586,2334265
AUS,3,14,1360,5413711
AUS,3,965,708,2886828
AUS,3,60,111764,447621045
AUS,3,6,626,2578632
AUS,3,9,2016,8299045
AUS,3,9,2884,11870599
AUS,3,7,1757,7232025
AUS,3,7,1267,5216543
AUS,3,6000,2969,12038660
AUS,3,15800,5492,21767926
AUS,3,219242,32724,133920290
AUS,3,32360,5864,23835206
AUS,3,500,138,560244
AUS,3,226,1405,5784806
AUS,3,477,12681,51683810
AUS,3,1,62,249061
AUS,3,208,1300,5267813
AUS,3,349,1209,4840275
AUS,3,129,195,788265
AUS,3,1,96,389486
AUS,3,1422,37831,153016357
AUS,3,40,494,1994089
AUS,3,558,14094,57120489
AUS,3,5178,76780,310114670
AUS,3,71,1828,7378207
AUS,3,169,2034,8211887
AUS,3,22,73,295119
AUS,3,358,3013,12165265
AUS,3,30,880,3623173
AUS,3,467,9276,38194354
AUS,3,211,2357,9704907
AUS,3,10,137,565773
AUS,3,1008,9478,39027820
AUS,3,293,13824,56205481
AUS,3,22,202,816343
AUS,3,25600,9432,38048496
AUS,3,1216,791,3236624
AUS,3,600,192,775140
AUS,3,15000,11550,47266412
AUS,3,20,12894,53092600
AUS,3,127,2436,9826410
AUS,3,8,114,459857
AUS,3,83,3313,13510027
AUS,3,1,2800,11331908
AUS,3,27150,6555,26614283
AUS,3,480,624,2533534
AUS,3,2360,4119,16777721
AUS,3,1080,1912,7761383
AUS,3,50,176,712556
AUS,3,23400,3372,13690826
AUS,3,1700,357,1449474
AUS,3,75,151,612068
AUS,3,112,988,4011428
AUS,3,4767,1289,5109357
AUS,3,9000,2428,9638288
AUS,3,102575,32397,130552929
AUS,3,18000,3700,14705845
AUS,3,340,459,1863609
AUS,3,33,3,12708
AUS,3,30,3630,14538368
AUS,3,5700,1667,6662189
AUS,3,8250,1740,6916657
AUS,3,1400,376,1517983
AUS,3,5400,810,3293727
AUS,3,1186,7798,32099111
AUS,3,44,3341,13281650
AUS,3,33,1356,5390818
AUS,3,300,15,59848
AUS,3,9200,1814,7467494
AUS,3,1,11655,47978856
AUS,3,93630,17819,71938285
AUS,3,255040,72546,292881986
AUS,3,18376,6520,25916315
AUS,3,45500,8962,35624757
AUS,3,50,168753,682960902
AUS,3,552,4601,18211125
AUS,3,1462,30460,123195775
AUS,3,3,390,1574504
AUS,3,8,2304,9301686
AUS,3,6,1548,6249570
AUS,3,6,1800,7266942
AUS,3,38,8152,32911173
AUS,3,12,3192,12886710
AUS,3,14,2356,9511620
AUS,3,2,516,2083190
AUS,3,4,1288,5199901
AUT,3,13080,2224,9066596
AUT,3,25740,4376,17842062
AUT,3,128,119334,491247299
AUT,3,20160,3202,12922126
AUT,3,72460,10959,44154375
AUT,3,160,2,6454
AUT,3,380,4,15329
AZE,3,7179,5070,20631407
AZE,3,32,77,312253
AZE,3,1,18656,76344544
AZE,3,1,17252,70600877
AZE,3,1,12717,52042161
AZE,3,1400,308,1243455
AZE,3,1000,320,1291901
AZE,3,432,35,141431
AZE,3,6400,855,3478202
AZE,3,56300,7909,32158041
BHS,3,192,8418,33985025
BHS,3,200,9066,36603183
BHS,3,682,7681,31007719
BHS,3,219,15430,62293236
BHS,3,587,8240,33264911
BHS,3,3,2847,11493355
BHR,3,3468,2268,8989377
BHR,3,8237,3636,14800766
BHR,3,480,134,550009
BHR,3,931,240,987982
BHR,3,541,51500,212004385
BHR,3,1006,317,1278659
BHR,3,3774,543,2192033
BHR,3,36,98,391308
BHR,3,6,30,117305
BHR,3,82,231,917252
BHR,3,7,31,124460
BHR,3,18500,4520,17992628
BHR,3,16762,2154,8561787
BHR,3,4558,834,3339726
BHR,3,11875,2969,12104900
BHR,3,103900,15657,62968945
BHR,3,7500,750,3054730
BHR,3,4000,800,3247195
BHR,3,920,120,482446
BHR,3,4110,2743,11295908
BHR,3,6180,1746,7120005
BHR,3,328,4180,17054501
BRB,3,58,5785,23672656
BEL,3,80,530,2124284
BEL,3,160,462,1851940
BEL,3,69,200,799570
BEL,3,169,977,3912783
BEL,3,1,40,162406
BEL,3,2,100,400506
BEL,3,448,3504,14146314
BEL,3,150,1275,5147417
BEL,3,2646,13837,54844909
BEL,3,1,1312,5220768
BEL,3,544,22280,88564210
BEL,3,3,4623,18918596
BEL,3,6,1384,5585695
BMU,3,36,493,2018337
BMU,3,481,21889,89575988
BMU,3,210,3786,15495526
BMU,3,6,199,814701
BMU,3,8,166,679654
BMU,3,41,533,2181294
BLR,3,26104,26089,106376903
BLR,3,95350,33270,136998188
BLR,3,2800,532,2190622
BLR,3,56350,10820,44555681
BLR,3,15200,2612,10605152
BLR,3,66150,22181,91051890
BLR,3,2200,418,1721203
BLR,3,108250,20660,84889335
BLR,3,1936,5902,23997919
BLR,3,212,436,1774311
BLR,3,10000,3654,15046112
BLR,3,750,142,586774
BLR,3,2100,399,1642966
BLR,3,960,309,1271549
BLR,3,12800,1626,6578982
BLR,3,400,44,176742
BLR,3,11150,1461,5814366
BLR,3,5600,728,2987894
BLR,3,26950,3462,14151484
BLR,3,24225,5956,23673648
BLR,3,33900,4591,18249241
BLR,3,13200,1757,6985227
BLR,3,70,36,147315
BLR,3,500,1,4117
BLR,3,43300,5573,22584559
BLR,3,559350,73347,296931698
BLR,3,1000,190,768951
BLR,3,130,179,717488
BLR,3,100,26,101507
BLR,3,315,462,1852611
BLR,3,200,61,243617
BLR,3,2,29,115041
BOL,3,300,1338,5397265
BOL,3,1160,4610,18596763
BOL,3,827,5736,23139783
BOL,3,480,2282,9137945
BOL,3,160,510,2044183
BOL,3,160,452,1810287
BOL,3,320,1438,5757674
BOL,3,160,1011,4049917
BOL,3,640,2032,8138282
BOL,3,800,4838,19378082
BOL,3,160,1040,4164461
BOL,3,6,75,308744
BOL,3,353,10578,43547183
BOL,3,3,9,36304
BOL,3,1,4,16135
BOL,3,2,10,40338
BOL,3,12,1639,6564293
BOL,3,4750,14120,56128271
BOL,3,21,139,551899
BOL,3,49,134,541439
BOL,3,8,39,156094
BOL,3,160,595,2361474
BOL,3,9,36,144143
BOL,3,437,1140,4581771
BOL,3,9,30,121578
BOL,3,62,166,663774
BOL,3,75,171,692744
BOL,3,51,185,732187
BOL,3,10,103,405751
BOL,3,1112,2763,10993193
BOL,3,4,76,302215
BOL,3,269,973,3857551
BOL,3,48,129,513185
BOL,3,3,147,582782
BOL,3,45,492,1947025
BOL,3,12,212,837306
BOL,3,5,31,124773
BOL,3,5,36,145805
BOL,3,2,61,242216
BOL,3,1,19,76385
BOL,3,11,108,437333
BOL,3,24,223,882741
BOL,3,22,173,684694
BOL,3,31,405,1603411
BOL,3,19,99,391028
BOL,3,325,1365,5457483
BOL,3,5,18,71790
BOL,3,44,161,650879
BOL,3,63,276,1097017
BOL,3,90,301,1190972
BOL,3,10,1233,4986072
BOL,3,1200,780,3154718
BOL,3,590,153,620428
BOL,3,1683,4412,18056956
BOL,3,738,1910,7817578
BOL,3,586,3133,12819715
BOL,3,335,2227,8852088
BOL,3,161,305,1227595
BOL,3,3350,7601,30263185
BOL,3,34,74,295309
BOL,3,40,72,285252
BOL,3,216,490,1947635
BOL,3,819,1539,6163280
BOL,3,79,177,715642
BOL,3,36,82,329403
BOL,3,125,238,949594
BOL,3,278,532,2143214
BOL,3,175,332,1331494
BOL,3,195,416,1660999
BOL,3,149,2025,8129957
BOL,3,111,1064,4287142
BOL,3,1402,154796,619426891
BOL,3,108,10077,39883319
BOL,3,46,5714,23508724
BOL,3,536,64282,264472979
BOL,3,709,65883,271061480
BOL,3,44,4397,18090533
BOL,3,720,32706,130987490
BOL,3,425,18025,71650600
BOL,3,1580,52312,209180223
BOL,3,2087,87374,349939114
BOL,3,304,5116,20934519
BOL,3,22,40,160594
BOL,3,46,98,391758
BOL,3,12,26,104363
BOL,3,187,7885,31806750
BOL,3,20,150,595731
BOL,3,47,241,962523
BOL,3,63,433,1733991
BOL,3,15,110,437254
BOL,3,467,1772,7088491
BOL,3,82,286,1143057
BOL,3,168,681,2715754
BOL,3,1439,3417,13663219
BOL,3,247,645,2581767
BOL,3,145,492,1966468
BOL,3,122,317,1266488
BOL,3,7,33,131206
BOL,3,2407,5418,21645025
BOL,3,633,2565,10223810
BOL,3,916,1884,7528198
BOL,3,14,157,624682
BOL,3,5,49,195447
BOL,3,93,593,2360676
BOL,3,5,16,63480
BOL,3,178,1591,6356354
BOL,3,6,29,115826
BOL,3,416,1869,7474174
BOL,3,50,110,442559
BOL,3,42,206,820431
BOL,3,7,36,144479
BOL,3,20,80,320004
BOL,3,354,1409,5622087
BOL,3,55,5042,20239075
BOL,3,4048,10,40051
BOL,3,1026,51937,213682481
BOL,3,109,11032,45389917
BOL,3,5,27,108802
BOL,3,54,360,1458820
BOL,3,42,237,964199
BOL,3,197,852,3466076
BOL,3,222,613,2493818
BOL,3,27,106,434155
BOL,3,307,692,2819587
BOL,3,5,22,87985
BOL,3,12,40,164021
BOL,3,208,524,2122094
BOL,3,117,303,1227288
BOL,3,17,71,287570
BOL,3,2340,5183,21171838
BOL,3,579,2550,10342876
BOL,3,284,522,2131287
BOL,3,5,45,182279
BOL,3,31,246,1007204
BOL,3,9,88,362048
BOL,3,142,1325,5386448
BOL,3,157,462,1872096
BOL,3,453,1634,6647793
BOL,3,22,78,319611
BOL,3,127,480,1957052
BOL,3,17,69,281061
BOL,3,208,1042,4232056
BOL,3,58,5228,21141943
BOL,3,44,4142,16587677
BOL,3,129,21867,86672178
BOL,3,10,11340,45780523
BOL,3,240,7620,30763388
BOL,3,19,237,955038
BOL,3,110,867,3498266
BOL,3,80,329,1326701
BOL,3,155,1387,5601238
BOL,3,477,1567,6326600
BOL,3,102,603,2434910
BOL,3,525,4913,19836087
BOL,3,40,1605,6379224
BOL,3,9,352,1400623
BOL,3,150,2220,8857556
BOL,3,70,1340,5346453
BOL,3,210,2,8359
BOL,3,10,10,39807
BOL,3,14,10,39011
BOL,3,200,34400,139669160
BOL,3,8,0,1009
BOL,3,1321,8368,34445978
BOL,3,56,635,2567662
BOL,3,974,4420,17571249
BOL,3,44,860,3419372
BOL,3,48,686,2726594
BOL,3,16,304,1225408
BOL,3,10,216,872840
BOL,3,522,3445,13932690
BOL,3,17,466,1882098
BOL,3,41,596,2368156
BOL,3,35,648,2614081
BOL,3,32,432,1778367
BOL,3,9,158,648363
BOL,3,1937,33126,134091155
BOL,3,52,676,2675453
BOL,3,204,3228,13000123
BOL,3,61,1094,4414667
BOL,3,173,2430,9890254
BOL,3,38,748,2974242
BOL,3,1455,18509,73597117
BOL,3,285,7481,30090848
BOL,3,152,2657,10718957
BOL,3,80,767,3055641
BOL,3,38,863,3428913
BOL,3,24,1100,4528661
BOL,3,8,108,430582
BOL,3,2,12,48534
BOL,3,6,2,6067
BOL,3,40,6,24267
BOL,3,4088,35495,143449012
BOL,3,192,7484,30175578
BOL,3,342,8788,35258766
BOL,3,6,167,676857
BOL,3,1592,14900,60202968
BOL,3,40,137,552156
BOL,3,21,100,402314
BOL,3,1655,15879,64260198
BOL,3,40,1817,7292178
BOL,3,1,20,80976
BOL,3,204,3098,12622356
BOL,3,163,333,1357765
BOL,3,353,6395,25930686
BOL,3,186,777,3145060
BOL,3,57,565,2301175
BOL,3,38,937,3771760
BOL,3,9,122,486958
BOL,3,58,947,3850303
BOL,3,15,485,1964113
BOL,3,139,12361,49938335
BOL,3,29,717,2862099
BOL,3,30,965,3927125
BOL,3,300,869,3579402
BOL,3,165,104,426307
BOL,3,189,2277,9120122
BOL,3,6,104,416406
BOL,3,4,1400,5764794
BOL,3,1,600,2470626
BOL,3,846,123085,487854309
BOL,3,19,1284,5090096
BOL,3,37,2597,10293589
BOL,3,0,23,89378
BOL,3,91,6326,25074852
BOL,3,8,1360,5600086
BOL,3,8,525,2082380
BOL,3,10,1062,4375067
BOL,3,835,695872,2790744524
BOL,3,30000,6201,25526975
BOL,3,115,2406,9599675
BOL,3,1,18,71818
BOL,3,202,7272,29014480
BOL,35,6103,42828,173886277
BOL,35,175,7703,31277325
BOL,35,107,3189,12949239
BOL,35,14,361,1467460
BOL,35,2246,14444,58644847
BOL,35,8,28,111735
BOL,35,715,2501,10152689
BOL,35,765,8480,34429057
BOL,35,75,3777,15336486
BOL,35,2,57,230332
BOL,35,463,4864,19749057
BOL,35,320,901,3660185
BOL,35,616,10884,44191728
BOL,35,719,3089,12543468
BOL,35,25,290,1178337
BOL,35,11,257,1044108
BOL,35,168,960,3897703
BOL,35,79,324,1317113
BOL,35,20,158,642194
BRA,3,24,27688,109582577
BRA,3,1,26,106977
BRA,3,52,78100,315877080
BRA,3,35,2367,9572425
BRA,3,4,670,2711116
BRA,3,5,459,1856268
BRA,3,75,9600,38448576
BRA,3,5,274,1106836
BRA,3,15,439,1777400
BRA,3,1,416,1682476
BRA,3,20,556,2250042
BRA,3,10,186,750499
BRA,3,14450,3672,14851441
BRA,3,53850,22942,90930241
BRA,3,16800,1848,7324677
BRA,3,21100,7066,28501429
BRA,3,15450,3625,14703939
BRA,3,704,70,287052
BRA,3,2880,288,1162711
BRA,3,4548,17522,69682190
BRA,3,50,840,3351308
BRA,3,10,269,1085600
BRA,3,34,473,1882817
BRA,3,2,204,812057
BRA,3,5,809,3266167
BRA,3,1,500,2058855
BRA,3,850,85,349910
BRA,3,92,136649,554376753
BRA,3,4,1786,7245167
BRA,3,20,13193,53523859
BRA,3,15,13024,52837587
BRA,3,672,3563,14667410
BRA,3,74,24090,95759918
BRA,3,74,16352,65000672
BRA,3,418,12374,49559614
BRA,3,6,344,1415422
BRA,3,130,4435,17630319
BRA,3,10,17030,67400823
BRA,3,1980,7584,30791366
BRA,3,3810,15048,61097949
BRA,3,4835,15536,63078247
BRA,3,6150,2091,8489774
BRA,3,2460,1667,6628065
BRA,3,320,1552,6151461
BRA,3,350,1554,6159388
BRA,3,450,2550,10107104
BRA,3,32,1884,7759742
BRA,3,592,881,3558702
BRA,3,100,774,3124785
BRA,3,120,2280,9063205
BRA,3,0,9,37259
BRA,3,4,360,1432245
BRA,3,30,308,1224056
BRA,3,0,20,79932
BRA,3,5,250,995168
BRA,3,40,2167,8624758
BRA,3,6,1861,7406196
BRA,3,2,171,680376
BRA,3,60,2372,9441353
BRA,3,2,376,1497289
BRA,3,1,448,1782862
BRA,3,5,1395,5553433
BRA,3,50,453,1803244
BRA,3,51,802,3191383
BRA,3,2,1663,6617943
BRA,3,1,22,87097
BRA,3,15,5608,22228850
BRA,3,2,192,765164
BRA,3,26,6751,26873065
BRA,3,1,405,1610619
BRA,3,38,1577,6276004
BRA,3,1,174,692199
BRA,3,3,193,768468
BRA,3,2,193,769941
BRA,3,92,2996,11955506
BRA,3,8,2376,9480856
BRA,3,6489,24188,96872389
BRA,3,6645,35511,142222004
BRA,3,941,22639,93141766
BRA,3,2,14148,56238063
BRA,3,1,50,199494
BRA,3,100,6,23851
BRA,3,6,25,100848
BRA,3,800,48,190804
BRA,3,36,28,111621
BRA,3,66,2507,10122245
BRA,3,1,50,202356
BRA,3,2,15262,62829208
BRA,3,624,2321,9200556
BRA,3,1,227952,932855217
BRA,3,96425,34662,138879497
BRA,3,1050,189,751292
BRA,3,45,148,588590
BRA,3,1114,4548,18031394
BRA,3,14,56,221960
BRA,3,62,174,687679
BRA,3,3351,15537,61624451
BRA,3,1036,6153,24462339
BRA,3,132,406,1608417
BRA,3,496,5,20166
BRA,3,2,214,882926
BRA,3,20,32,128383
BRA,3,2126,8508,34192271
BRA,3,2,325,1312571
BRA,3,3,380,1548984
BRA,3,2,12000,48988920
BRA,3,16,600,2469954
BRA,3,844,1361,5493001
BRA,3,72,254,1008332
BRA,3,288,1408,5580707
BRA,3,14,71,279669
BRA,3,72,254,1008332
BRA,3,582,2760,10937868
BRA,3,480,2934,11629114
BRA,3,52,226,895767
BRA,3,21,80,318354
BRA,3,494,318760,1276653086
BRA,3,3,2,6210
BRA,3,90,47,186295
BRA,3,46,59870,241706565
BRA,3,5759,4782059,19181778398
BRA,3,157834,1652,6682623
BRA,3,169439,1676,6899117
BRA,3,110006,1138,4543814
BRA,3,3,741,2945542
BRA,3,21,532,2146534
BGR,3,1,50,205830
BGR,3,669,3947,15935394
BGR,3,55,336,1356496
BGR,3,40,10,40372
BGR,3,1200,326,1320977
CAN,3,10250,1650,6677732
CAN,3,1400,266,1076531
CAN,3,84,1747,7067336
CAN,3,283,8895,35976685
CAN,3,227,5890,23822730
CAN,3,112,2867,11593952
CAN,3,483,4087,16595254
CAN,3,2448,20167,81733451
CAN,3,1,13,53549
CAN,3,130,1987,8034621
CAN,3,9,133,539740
CAN,3,4,52,208858
CAN,3,15,229,926112
CAN,3,16680,7815,31532065
CAN,3,2440,1316,5387202
CAN,3,5,70,283986
CAN,3,10400,2288,9068648
