ORIGEN,DESTINO,CANTI,FOBDOL,FOBPES
POL,3,35200,6336,26082714
POL,3,17400,2934,11929028
POL,3,6550,1094,4445941
POL,3,2700,1025,4080187
POL,3,29300,4688,18775721
POL,3,57750,9240,37006754
POL,3,433209,72255,289484979
POL,3,467629,83337,333929222
POL,3,1110,2220,8799125
POL,3,30,18,72848
POL,3,2000,550,2242592
POL,3,9700,1568,6235209
POL,3,77750,12910,51361193
POL,3,16020,3256,13145898
POL,3,28,0,1130
POL,3,250,2,10194
POL,3,5900,874,3528020
POL,3,4800,831,3355955
POL,3,1200,261,1053141
POL,3,2450,392,1564037
POL,3,250,2,9975
POL,3,17850,2781,11153790
POL,3,24500,4658,18798423
POL,3,16450,2796,11369982
POL,3,13650,2320,9434666
POL,3,801356,126501,512518829
POL,3,198750,35081,141026209
POL,3,112160,34994,143205973
POL,3,24729,3961,16093817
POL,3,16465,2979,12053213
POL,3,6238,16017,64664560
POL,3,260,1712,6911669
POL,3,800,140,567466
POL,3,1000,10,40471
POL,3,76500,7420,29933036
POL,3,72000,9720,39208828
POL,3,7400,1776,7112987
POL,3,980,1274,5102446
POL,3,1540,2710,10855315
POL,3,1160,162,650422
POL,3,92950,13447,53973654
POL,3,129800,18951,76038966
POL,3,95475,26024,103705320
POL,3,76550,10411,42329526
POL,3,108300,14729,59935846
POL,3,450,122,500901
POL,3,16,22,89049
POL,3,80,22,89049
POL,3,89400,21456,87114578
POL,3,8320,1165,4729263
POL,3,687500,103600,412798908
POL,3,821600,125753,502296087
POL,3,47400,10461,41561836
POL,3,228,241,952912
POL,3,155,132,524127
POL,3,1050,134,543932
POL,3,250,440,1785054
POL,3,10500,1470,5963702
POL,3,6300,1001,4081517
POL,3,46400,6310,25962816
POL,3,54200,7371,30327254
POL,3,2026,2634,10693623
POL,3,100,176,714586
POL,3,8400,1176,4774736
POL,3,346200,53527,216619954
POL,3,344860,53568,216772742
POL,3,186025,42805,171347045
POL,3,4900,882,3506029
POL,3,5250,945,3756460
POL,3,15120,2790,11041387
POL,3,311,2,8080
POL,3,182700,27270,110293788
POL,3,853512,115381,466659568
POL,3,800,154,630219
POL,3,800,1,4149
POL,3,42050,5667,22972514
POL,3,53750,7338,29764399
POL,3,6475,1554,6309473
POL,3,390,507,2058496
POL,3,500,880,3572932
POL,3,2500,350,1421052
POL,3,2200,286,1145447
POL,3,7300,1008,4063169
POL,3,20850,4488,18243496
POL,3,750,118,468663
POL,3,41250,5775,22988369
POL,3,648,2113,8363283
POL,3,725,1065,4235335
PRT,3,5960,4139,16804636
PRT,3,1,50,198178
PRT,3,14550,4396,18101412
PRT,3,11700,704,2807526
PRT,3,62300,13687,54435892
PRT,3,29200,4072,16139657
PRT,3,540,702,2889846
PRT,3,1400,2464,10143278
PRT,3,11900,1666,6858239
PRT,3,300,126,518690
PRT,3,1400,350,1423026
PRI,3,710,361,1476922
PRI,3,110,1,4502
PRI,3,5800,3074,12657841
PRI,3,100,35,144120
PRI,3,3560,1885,7493442
PRI,3,144,65,257586
PRI,3,30,435,1729164
PRI,3,62512,8676,34492160
PRI,3,20236,3362,13306268
PRI,3,5780,5072,20631852
PRI,3,1200,462,1879261
PRI,3,2250,1354,5383692
PRI,3,76468,23383,93805705
PRI,3,18,100,404711
PRI,3,500,146,588939
PRI,3,1600,272,1113114
PRI,3,5684,1080,4352736
PRI,3,2340,1087,4421140
PRI,3,1750,300,1219037
PRI,3,14976,31053,125368637
PRI,3,1,862,3412785
PRI,3,272,6685,27519404
PRI,3,1000,300,1187331
PRI,3,1540,2553,10224518
PRI,3,561,12826,50762358
PRI,3,120,1020,4036925
PRI,3,120,887,3551687
PRI,3,35,728,2916725
PRI,3,760,1923,7700929
PRI,3,390,740,2963744
PRI,3,38,409,1639111
PRI,3,858,971,3841728
PRI,3,11000,9750,39362602
PRI,3,365,1687,6756336
PRI,3,900,993,3978226
PRI,3,620,1186,4750802
PRI,3,120,3053,12226647
PRI,3,35990,6917,27704202
PRI,3,220,323,1295236
PRI,3,13933,9228,37118273
PRI,3,6061,19264,78264378
PRI,3,5,100,403719
PRI,3,0,11820,47719586
PRI,3,280,5992,24190842
PRI,3,256,3232,13050136
PRI,3,557,11123,44547922
PRI,3,340,3635,14556791
PRI,3,1000,1060,4245364
PRI,3,2981,4293,17330203
PRI,3,25,886,3546761
PRI,3,160,958,3838450
PRI,3,681,2546,10196282
PRI,3,382,719,2879077
PRI,3,85,140,561710
PRI,3,210,349,1396164
PRI,3,792,214,846330
PRI,3,240,940,3764756
PRI,3,229,14601,58885012
PRI,3,90,3666,14682550
PRI,3,460,1726,6911933
PRI,3,90,273,1092180
PRI,3,275,1774,7103975
PRI,3,27,593,2375001
PRI,3,432,190,752293
PRI,3,996,16434,66347180
PRI,3,150,100,398067
PRI,3,500,62,254112
PRI,3,700,94,384217
PRI,3,300,36,146368
PRI,3,58,324,1317316
PRI,3,20,54,219553
PRI,3,96,221,897726
PRI,3,240,546,2221548
PRI,3,2450,514,2060603
PRI,3,1360,2970,12075396
PRI,3,1000,2600,10522486
PRI,3,192152,58970,234412409
PRI,3,19532,5638,22412154
PRI,3,300,321,1313638
PRI,3,396,5148,21067315
PRI,3,840,15620,63923832
PRI,3,721,10050,41126525
PRI,3,142150,44832,184554963
PRI,3,900,162,666888
PRI,3,15900,10833,44595019
PRI,3,1725,474,1932672
PRI,3,9000,3465,13833631
PRI,3,150,54,213720
PRI,3,400,56,226493
PRI,3,2190,340,1374729
PRI,3,8064,2275,9056741
PRI,3,1792,506,2009766
PRI,3,159,3681,15062393
PRI,3,38,1262,5002025
PRI,3,1830,1610,6629357
PRI,3,750,1115,4587433
PRI,3,915,686,2825010
PRI,3,180,1724,7010276
PRI,3,1504,4243,17456932
PRI,3,63,10063,40726068
PRI,3,1000,2860,11384716
PRI,3,282,186,765258
PRI,3,2,5660,22850495
PRI,3,1000,40,163693
PRI,3,300,264,1080375
PRI,3,2,26,101365
PRI,3,21250,2741,11129886
PRI,3,400,116,469353
PRI,3,336,320,1298720
PRI,3,800,201,815278
PRI,3,120,546,2216355
PRI,3,14525,3486,14213956
PRI,3,200,260,1060134
PRI,3,10129,2258,9121071
PRI,3,3830,1363,5507372
PRI,3,12,29,117430
PRI,3,3200,448,1826693
PRI,3,984,375,1528551
PRI,3,1182,11183,45556721
PRI,3,154,7629,31163793
PRI,3,159,5520,22102217
PRI,3,38,584,2372432
PRI,3,17,410,1644288
PRI,3,400,3496,14192476
PRI,3,97,331,1322089
PRI,3,144,788,3165542
PRI,3,16,57,232815
PRI,3,21864,5561,22163010
PRI,3,3400,408,1621837
PRI,3,80,143,565170
PRI,3,990,355,1442528
PRI,3,29,560,2292323
PRI,3,336,7061,28426263
PRI,3,93,4987,20196783
PRI,3,135,7777,31676928
PRI,3,272,7133,28759784
PRI,3,423,5658,22957368
PRI,3,117,410,1642424
PRI,3,112,547,2253417
PRI,3,10280,17305,70259678
PRI,3,32,7,30059
PRI,3,664,20830,85244994
PRI,3,12,1776,7267241
PRI,3,1004,14884,60908562
PRI,3,10568,2390,9723593
PRI,3,3280,2085,8582267
PRI,3,43,153,629427
PRI,3,2240,560,2273684
PRI,3,400,608,2468571
PRI,3,1424,3958,16070074
PRI,3,11479,5122,20606265
PRI,3,9540,3350,13346240
PRI,3,192,1056,4287518
PRI,3,5400,918,3662719
PRI,3,3560,783,3179909
PRI,3,4496,3183,12924594
PRI,3,19644,2509,10327372
PRI,3,380,95,386526
PRI,3,33,231,914245
PRI,3,1200,286,1155855
PRI,3,25,128,516209
PRI,3,12480,1718,6810999
PRI,3,150,178,722409
PRI,3,2480,2189,8859124
PRI,3,6900,1242,5026511
PRI,3,600,60,242827
PRI,3,4900,614,2477322
PRI,3,27700,2770,11210495
PRI,3,46450,6081,24560230
PRI,3,6000,1500,6051696
PRI,3,7947,7134,28822974
PRI,3,5140,1144,4621982
PRI,3,7304,20331,82023668
PRI,3,45,319,1291838
PRI,3,17675,4268,17318141
PRI,3,330,502,2036571
PRI,3,620,1135,4607417
PRI,3,3120,1373,5560059
PRI,3,540,343,1388458
PRI,3,50,270,1095374
PRI,3,546,1035,4198933
PRI,3,32580,5055,20379035
PRI,3,2100,444,1801493
PRI,3,300,126,511174
PRI,3,8174,5546,22501674
PRI,3,616,5885,23404896
PRI,3,9,200,795646
PRI,3,1,11,42831
PRI,3,2,34,134218
PRI,3,41,291,1158056
PRI,3,44,181,719132
PRI,3,150718,23540,94442119
PRI,3,2040,923,3730551
PRI,3,420,593,2411724
PRI,3,134364,26515,106240066
PRI,3,620,5984,24421927
PRI,3,17,349,1387679
PRI,3,10,293,1163743
PRI,3,37,291,1157857
PRI,3,7,677,2746143
PRI,3,6,6644,26952281
PRI,3,5,1956,7935375
PRI,3,1,461,1871061
PRI,3,192,2,7636
PRI,3,3,2,9286
PRI,3,434,9038,36459772
PRI,3,500,750,2968328
PRI,3,229,688,2722946
PRI,3,1740,6936,27449114
PRI,3,229,1146,4535604
PRI,3,1240,4454,17625929
PRI,3,122,915,3621360
PRI,3,276,276,1092345
PRI,3,418,349003,1400904259
PRI,3,120,180,712399
PRI,3,2745,7477,30225446
PRI,3,252,252,997358
PRI,3,102,1065,4296029
PRI,3,7459,39434,159433370
PRI,3,70,210,851957
PRI,3,2974,16392,66302733
PRI,3,6586,25682,103800166
PRI,3,1671,12710,51463780
PRI,3,52,1132,4583767
PRI,3,1203,12144,49027312
PRI,3,66,762,3137695
PRI,3,510000,6832,27575468
PRI,3,311,18015,73669474
PRI,3,328,3643,15001312
QAT,3,4525,4734,19212001
QAT,3,4650,4880,19943244
QAT,3,240,127,514015
QAT,3,268,3006,12156396
QAT,3,8,70,284605
QAT,3,6,41,162903
QAT,3,6,46,183117
QAT,3,3968,18066,72637493
QAT,3,90,862,3474021
QAT,3,5,42,168055
QAT,3,4,30,118511
QAT,3,55,611,2462029
QAT,3,76,894,3604683
QAT,3,120,1194,4820405
QAT,3,461,1927,7858654
QAT,3,3,7000,28460530
QAT,3,116,917,3700973
QAT,3,20,354,1427954
QAT,3,21,772,3115096
QAT,3,11,443,1787668
QAT,3,135,2825,11404012
QAT,3,115,8692,35093274
QAT,3,118,612,2469914
QAT,3,300,41,167863
QAT,3,500,117,469886
QAT,3,300,45,182120
QAT,3,8300,1232,4987658
QAT,3,116,201,803896
QAT,3,140,420,1682125
QAT,3,25,48,192857
QAT,3,600,84,336425
QAT,3,5040,3488,14252342
QAT,3,50,70,282084
QAT,3,1340,770,3145487
QAT,3,6,100,406015
QAT,3,120,343,1364056
QAT,3,360,1305,5189776
QAT,3,690,3140,12487278
QAT,3,320,1760,6999238
QAT,3,84,579,2301994
QAT,3,300,4192,17247186
GBR,3,59,487,1968342
GBR,3,11,98,395958
GBR,3,41,344,1390664
GBR,3,4370,2384,9718578
GBR,3,1245,910,3694330
GBR,3,9338,5486,22291914
GBR,3,4220,2133,8492361
GBR,3,30,0,1228
GBR,3,4746,2442,9679117
GBR,3,3390,1769,7118793
GBR,3,11100,8644,35374510
GBR,3,3190,2129,8548510
GBR,3,160,0,1516
GBR,3,300,0,1516
GBR,3,1900,1050,4176817
GBR,3,2880,936,3725907
GBR,3,33,3017,12420575
GBR,3,28,8275,33244626
GBR,3,14,5171,20896759
GBR,3,9,2558,10270701
GBR,3,4,855,3519684
GBR,3,5,1195,4750233
GBR,3,8,912,3754330
GBR,3,17624,11357,46010546
GBR,3,37080,6860,27189297
GBR,3,9410,2356,9336189
GBR,3,15695,3773,14954906
GBR,3,58880,11374,46023113
GBR,3,93100,27381,110038649
GBR,3,12840,2054,8459423
GBR,3,57885,30618,123390123
GBR,3,50,5,20387
GBR,3,25,3644,14505561
GBR,3,46,9193,36594299
GBR,3,8,1840,7324433
GBR,3,18,2920,11623556
GBR,3,11,1078,4291162
GBR,3,11,990,3940863
GBR,3,17600,3232,13122405
GBR,3,234000,41572,168788475
GBR,3,100,8,33120
GBR,3,53905,15629,62671616
GBR,3,6650,931,3728711
GBR,3,8400,1344,5382801
GBR,3,400,72,284959
GBR,3,10400,1860,7562369
GBR,3,56400,7712,31355372
GBR,3,410,866,3427429
GBR,3,2700,378,1536869
GBR,3,557,2855,11607830
GBR,3,200,2,8074
GBR,3,1024,2867,11655807
GBR,3,15,2,6099
GBR,3,1800,74,300303
GBR,3,150,2,6085
GBR,3,5,13000,52065780
GBR,3,34500,5709,23203196
GBR,3,87060,12302,49934119
GBR,3,5580,6139,24331246
GBR,3,13133,3745,15325217
GBR,3,8750,3103,12487074
GBR,3,1696,6393,26316290
GBR,3,660,23316,95415129
GBR,3,947,13431,54965803
GBR,3,1295,106379,435338914
GBR,3,669,52579,215171929
GBR,3,80,7290,29831449
GBR,3,6,309,1266249
GBR,3,230,2167,8866442
GBR,3,438,860,3540267
GBR,3,32,140,572926
GBR,3,21,419,1715668
GBR,3,2,69,280406
GBR,3,5,86,349894
GBR,3,1,163,668564
GBR,3,22650,3432,14129922
GBR,3,93770,31729,129845129
GBR,3,31800,16341,67286470
GBR,3,43900,5862,23833661
GBR,3,12480,2124,8635738
GBR,3,120,114,469419
GBR,3,660,627,2565891
GBR,3,8200,2938,12023266
GBR,3,13,0,1524
GBR,3,5000,750,3088282
GBR,3,6400,2048,8430776
GBR,3,7900,1417,5761224
GBR,3,28940,3981,16184690
GBR,3,10000,1585,6526570
GBR,3,8000,1120,4452101
GBR,3,5208,27158,110762838
GBR,3,640,3021,12264901
GBR,3,5,1464,6026194
GBR,3,31,8103,33357264
GBR,3,3,1270,5227740
GBR,3,1,10391,42773840
GBR,3,23350,8601,35010335
GBR,3,76300,13190,53641122
GBR,3,1200,216,876992
GBR,3,3600,648,2630977
GBR,3,182930,62113,248691120
GBR,3,57700,9381,38019913
GBR,3,177145,28571,115477264
GBR,3,28630,5575,22250301
GBR,3,180,31,127079
GBR,3,38400,6952,28247226
GBR,3,139660,24329,97781417
GBR,3,20250,10732,43636091
GBR,3,2800,392,1593790
GBR,3,1832,10697,43490536
GBR,3,15,35,141138
GBR,3,10,24,95325
GBR,3,400,1036,4118256
GBR,3,12,29,113459
GBR,3,456,1616,6427568
GBR,3,11600,4521,18252943
GBR,3,67604,15424,62756515
GBR,3,100300,23666,96453838
GBR,3,378,978,3885002
GBR,3,288,2491,10258039
GBR,3,6,91,367828
GBR,3,1,102,411390
GBR,3,1,100,403194
GBR,3,20,100,397509
GBR,3,25539,10782,43948048
GBR,3,7020,2273,9208189
GBR,3,21650,2940,11831715
GBR,3,87781,31924,129614880
GBR,3,1216,1392,5660067
GBR,3,28820,55657,226285957
GBR,3,4463,13975,56740434
GBR,3,537,1400,5685834
GBR,3,302,1782,7233726
GBR,3,3994,9079,36655344
GBR,3,700,5155,20812522
GBR,3,105,26482,105661025
GBR,3,11,4321,17242150
GBR,3,12,1874,7476735
GBR,3,49,8244,32892773
GBR,3,28397,8726,35200034
GBR,3,4,390,1551189
GBR,3,18,124,500208
GBR,3,500,30,119253
GBR,3,1,35,140494
GBR,3,6,4,16230
GBR,3,0,100,403719
GBR,3,0,18,71862
GBR,3,0,126,509897
GBR,3,0,7147,28286974
GBR,3,6,5,20347
GBR,3,5,16046,63507960
GBR,3,12,30900,125055699
GBR,3,120,30,119253
GBR,3,300,57,230609
GBR,3,20,5,19789
GBR,3,100,222,878625
GBR,3,5,9685,39490414
GBR,3,329615,49915,197841676
GBR,3,83310,13486,53453498
GBR,3,6560,1917,7739293
GBR,3,50760,7892,31282080
GBR,3,27462,5325,21105376
GBR,3,800,152,613142
GBR,3,10000,1568,6454813
GBR,3,480,72,284959
GBR,3,200,1,4117
GBR,3,2000,480,1937851
GBR,3,108100,13625,55006714
GBR,3,98640,15534,62715728
GBR,3,38950,6924,27627993
GBR,3,15103,5232,21123616
GBR,3,4,5,22087
GBR,3,208,1680,6678151
GBR,3,31600,4455,18018292
GBR,3,199670,28226,114161957
GBR,3,4200,956,3856341
GBR,3,36960,11827,47034882
GBR,3,110585,16848,66809632
GBR,3,67500,11325,45311709
GBR,3,82350,23058,91697977
GBR,3,285776,36190,143891020
GBR,3,21068,3879,15373895
GBR,3,9250,1712,6804520
GBR,3,138620,12892,52002765
GBR,3,102960,10875,43869248
GBR,3,1200,300,1217082
GBR,3,10,15,61665
GBR,3,10,29,117651
GBR,3,3300,495,2008185
GBR,3,171860,22905,91595304
GBR,3,294900,42383,170090230
GBR,3,58040,18640,75251607
GBR,3,336960,53914,214405761
GBR,3,3200,718,2917260
GBR,3,10400,2282,9257978
GBR,3,200330,28458,115395559
GBR,3,317200,44819,181713400
GBR,3,61470,38339,155583344
GBR,3,15850,1971,7898435
GBR,3,19500,2216,8882356
GBR,3,2960,759,3057660
GBR,3,40,63,254644
GBR,3,24280,5205,21007007
GBR,3,1660,439,1776277
GBR,3,2238576,559638,2303794557
GBR,3,1150,1748,7097142
GBR,3,356,774,3176410
GBR,3,12205,23197,95489427
GBR,3,34682,105032,432363884
GBR,3,105,578,2377331
GBR,3,170,389,1602588
GBR,3,430027,64504,265504218
GBR,3,3240,713,2928345
GBR,3,40,17,70805
GBR,3,405710,242730,999216036
GBR,3,20,16,65865
GBR,3,1800,640,2536685
GBR,3,17111,5896,23926332
GBR,3,57,43,174992
GBR,3,39900,6033,23982091
GBR,3,78190,11772,47051787
GBR,3,20340,3865,15368896
GBR,3,91669,15746,62472726
GBR,3,15564,4616,18596731
GBR,3,952,181,715881
GBR,3,520,778,3131645
GBR,3,30,23,92881
GBR,3,765,305,1229318
GBR,3,1016,4446,18214279
GBR,3,42,147,587590
GBR,3,497,1988,8016793
GBR,3,60,350,1387250
GBR,3,4886,34653,138757500
GBR,3,1700,11420,45503159
GBR,3,180,943,3738439
GBR,3,600,4440,17598251
GBR,3,50,279,1105836
GBR,3,1,1440,5767286
GBR,3,252,1302,5227133
GBR,3,525,1680,6763055
GBR,3,91,300,1211359
GBR,3,889,2996,12063640
GBR,3,1,83512,332113862
GBR,3,49,172,684266
GBR,3,56,185,737332
GBR,3,217,694,2770580
GBR,3,100,1,3977
GBR,3,3640,26402,106953401
GBR,3,8355,57445,232651828
GBR,3,3,1296,5135003
GBR,3,2,2591,10270006
GBR,3,3,7,28621
GBR,3,230,207,829047
GBR,3,350,350,1401771
GBR,3,44,534,2138702
GBR,3,38,421,1686130
GBR,3,82,1026,4108791
GBR,3,387,4930,19743144
GBR,3,841,12403,49673558
GBR,3,1668,1390343,5587066012
GBR,3,720,12768,50776293
GBR,3,72,3545,14299927
GBR,3,4,23722,96003925
CZE,3,14560,11056,44945490
CZE,3,960,604,2449743
CZE,3,7450,6788,27945060
CZE,3,51195,33696,137860383
CZE,3,26190,5238,20761180
CZE,3,11280,3158,12518539
CZE,3,26892,4316,17491186
CZE,3,200,75,296833
CZE,3,14700,2456,9832808
CZE,3,145520,25204,100842400
CZE,3,10200,1794,7134451
CZE,3,47600,8838,35147312
CZE,3,11246,15560,62981612
CZE,3,2058,2317,9273313
CZE,3,4560,1656,6591990
CZE,3,61600,10320,41958953
CZE,3,71300,11226,45642559
CZE,3,2,163,661890
CZE,3,950,555,2199781
CZE,3,4000,600,2403036
CZE,3,13800,2060,8250424
CZE,3,13680,3701,14668380
CZE,3,3250,1472,6059210
CZE,3,6000,1092,4455419
CZE,3,9400,1716,7006490
CZE,3,31913,5100,20282202
CZE,3,30595,5351,21280866
CZE,3,16604,7547,30861588
CZE,3,40400,6868,27808922
CZE,3,44476,7413,29880100
CZE,3,2240,672,2712992
CZE,3,200,4,16310
CZE,3,200,4,16310
CZE,3,10240,3482,13799565
CZE,3,1700,772,3113108
CZE,3,20682,3516,13982331
CZE,3,39929,6884,27376288
CZE,3,1200,192,763553
CZE,3,650,46,185482
CZE,3,3500,1120,4454061
CZE,3,56075,20529,82811505
CZE,3,114240,20563,81776556
CZE,3,187914,33378,132737772
CZE,3,200,34,137602
CZE,3,4000,652,2638716
CZE,3,4008,3931,15961262
CZE,3,80363,9987,39755708
CZE,3,15,19,78706
CZE,3,4800,490,1981465
CZE,3,19420,2738,11081878
CZE,3,16060,2393,9651745
CZE,3,12760,1984,8004732
CZE,3,13910,2680,11032461
CZE,3,100,20,81206
CZE,3,18,18,73085
CZE,3,15,22,86301
CZE,3,460,63,257390
CZE,3,35250,8460,34396583
CZE,3,16000,2416,9721464
CZE,3,22120,3220,12986135
CZE,3,2160,475,1883488
CZE,3,17600,5342,21173391
CZE,3,38680,12114,48331932
CZE,3,74100,24633,98376115
CZE,3,33450,5802,23063472
CZE,3,300,3,11931
CZE,3,200,1,2470
CZE,3,200,1,2470
CZE,3,700,95,378960
CZE,3,18200,2475,9852954
CZE,3,12450,5794,23213708
CZE,3,1140,167,664715
CZE,3,3420,502,1994144
CZE,3,2800,381,1566722
CZE,3,69650,9472,38972201
CZE,3,42000,7140,28394638
CZE,3,76560,13746,54664052
CZE,3,15080,4373,17391517
CZE,3,100000,20000,79536800
CZE,3,257150,88409,356522441
CZE,3,402,0,1464
CZE,3,864748,6423,25530373
DOM,3,497,2650,10775279
DOM,3,2925,2263,9098172
DOM,3,78,1344,5437043
DOM,3,292,319,1268849
DOM,3,10280,1953,7771228
DOM,3,3400,551,2193308
DOM,3,3555,2283,9239236
DOM,3,105,100,395521
DOM,3,57,114,453558
DOM,3,31,391,1550945
DOM,3,35,1884,7468595
DOM,3,12,102,403373
DOM,3,5,81,321842
DOM,3,13,155,612570
DOM,3,20,331,1309468
DOM,3,37,233,922164
DOM,3,5,225,891448
DOM,3,5,60,238131
DOM,3,3,0,875
DOM,3,1,1066,4303645
DOM,3,92,3642,14902424
DOM,3,565,492,2011585
DOM,3,160,286,1172043
DOM,3,1,173,698434
DOM,3,725,778,3140732
DOM,3,1200,348,1404942
DOM,3,800,256,1033521
DOM,3,294,670,2673944
DOM,3,903,2254,8993890
DOM,3,10,28,111996
DOM,3,2052,4655,18574295
DOM,3,744,1562,6234123
DOM,3,403,916,3653462
DOM,3,114,704,2869865
DOM,3,652,7808,31151306
DOM,3,184,1974,7877798
DOM,3,11,116,460912
DOM,3,1,1801,7270818
DOM,3,3,4670,18853475
DOM,3,14,249,1006754
DOM,3,15,1415,5714319
DOM,3,1950,660,2664345
DOM,3,1494,36303,146562997
DOM,3,90,6331,25559288
DOM,3,290,46891,189306665
DOM,3,200,6920,27936063
DOM,3,41,3618,14604858
DOM,3,4400,1694,6742956
DOM,3,408,4435,18083691
DOM,3,199,22830,91544643
DOM,3,163,8437,34061489
DOM,3,441,3968,15781493
DOM,3,118,11381,45240499
DOM,3,267,9593,38721322
DOM,3,838,11844,47778336
DOM,3,456,18527,75819744
DOM,3,456,12299,49651987
DOM,3,5079,159595,647753705
DOM,3,67,1600,6407455
DOM,3,504,11592,45878470
DOM,3,150,3864,15810717
DOM,3,44,5615,22779637
DOM,3,7,206,826644
DOM,3,41,200,807438
DOM,3,30,600,2393934
DOM,3,30,612,2441813
DOM,3,504,23184,91756940
DOM,3,4,20,80744
DOM,3,3,210,834769
DOM,3,2293,1083,4372277
DOM,3,678,507,2046855
DOM,3,1220,8640,34344778
DOM,3,2,20,80101
DOM,3,15,8,30038
DOM,3,600,4016,15964955
DOM,3,632,1229,4902857
DOM,3,201,535,2136107
DOM,3,3,33,131547
DOM,3,50,40,160202
DOM,3,15,14,54068
DOM,3,9,6,25232
DOM,3,30,12,48446
DOM,3,93,102,409718
DOM,3,11,13,52867
DOM,3,101,76,305987
DOM,3,433,361,1447028
DOM,3,80,40,161488
DOM,3,358,3753,14921846
DOM,3,30,27,109004
DOM,3,284,2661,10657465
DOM,3,540,2700,10732743
DOM,3,3,41,166634
DOM,3,141,1584,6278295
DOM,3,50,40,161488
DOM,3,1,2450,9775230
DOM,3,80,35,141302
DOM,3,40,28,113041
DOM,3,1,400,1584675
DOM,3,713,498,2010521
DOM,3,300,6150,24446804
DOM,3,80,100,403719
DOM,3,602,4991,19849283
DOM,3,422,6319,25129254
DOM,3,613,17684,70328268
DOM,3,213,22291,88647860
DOM,3,520,23001,91469786
DOM,3,393,14010,55715528
DOM,3,14,13,50869
DOM,3,92,83,334279
DOM,3,41,37,148972
DOM,3,8,6,25838
DOM,3,42,50,203474
DOM,3,24,19,77514
DOM,3,108,69,279777
DOM,3,126,66,265243
DOM,3,88,35,142109
DOM,3,10,8,32298
DOM,3,207,310,1253547
DOM,3,107,3281,13244042
DOM,3,24,31,125960
DOM,3,1870,187,754955
DOM,3,27,22,87203
DOM,3,32,51,207721
DOM,3,3312,8327,33678905
DOM,3,15,35,144173
DOM,3,163,348,1414610
DOM,3,331,625,2542135
DOM,3,30,74,298998
DOM,3,20,159,644997
DOM,3,4,81,331118
DOM,3,0,2,8254
DOM,3,75,856,3479259
DOM,3,480,714,2890446
DOM,3,9,360,1453388
DOM,3,50,3209,12954333
DOM,3,84,1757,6983438
DOM,3,124,2828,11239964
DOM,3,212,6979,27743346
DOM,3,16,360,1431032
DOM,3,57,1876,7455679
DOM,3,54,292,1159136
DOM,3,16,259,1030343
DOM,3,1,1520,6178578
DOM,3,5,10,42194
DOM,3,145,291,1165082
DOM,3,29,122,483504
DOM,3,1467,3150,12705838
DOM,3,433,922,3720361
DOM,3,498,1041,4160257
DOM,3,232,571,2270139
DOM,3,22,486,1931154
DOM,3,1,11,44904
DOM,3,0,5,20774
DOM,3,2780,804,3187503
DOM,3,160,41,162506
DOM,3,1320,528,2174151
DOM,3,750,300,1217082
DOM,3,22700,8647,35271708
DOM,3,9750,1635,6541965
DOM,3,3300,780,3180403
DOM,3,30,771,3116740
DOM,3,61,1261,5098348
DOM,3,114,17034,67418198
DOM,3,168,2485,9849471
DOM,3,10,290,1151295
DOM,3,750,183,727762
DOM,3,176,38090,151623720
DOM,3,74,139,560380
DOM,3,94,209,841981
DOM,3,481,1096,4448300
DOM,3,10,213,847862
DOM,3,144,3361,13367352
DOM,3,34,89,352348
DOM,3,1,17,66016
DOM,3,1,4964,20314326
DOM,3,2015,5692,23294893
DOM,3,49,613,2472334
DOM,3,2,34,134564
DOM,3,14,8,31801
DOM,3,12,0,477
DOM,3,100,5,19875
DOM,3,27,15,60580
DOM,3,12,0,477
DOM,3,2772,123,488976
DOM,3,3,50,195910
DOM,3,2,7,29614
DOM,3,3,12,48774
DOM,3,3,2,6320
DOM,3,2,1,3975
DOM,3,18,10,39751
DOM,3,9,5,19875
DOM,3,244,48,189254
DOM,3,618,13,53584
DOM,3,1,1,3101
DOM,3,2,100,411429
DOM,3,270,68,274060
DOM,3,28,74,300654
DOM,3,15,28,115714
DOM,3,18,54,218517
DOM,3,204,135,548080
DOM,3,13530,130061,518387550
DOM,3,679,28601,114277361
DOM,3,257,7085,28487213
DOM,3,178,1838,7327055
DOM,3,179,5366,21575651
DOM,3,3255,31664,126817295
DOM,3,608,2083,8357519
DOM,3,13,285,1126856
DOM,3,164,774,3078741
DOM,3,108,113,464070
DOM,3,510,165,662125
DOM,3,40,202,831551
DOM,3,465,7627,30400368
DOM,3,369,18192,73009484
DOM,3,214,11600,46501611
DOM,3,161,4235,16918366
DOM,3,1169,13649,54629533
DOM,3,117,760,3038277
DOM,3,872,3657,14644536
DOM,3,385,1786,7285994
DOM,3,430,2207,9032877
DOM,3,160,123,485975
DOM,3,8859,2868,11448459
DOM,3,30,21,82801
DOM,3,50,377,1538540
DOM,3,1556,9802,39016617
DOM,3,19,943,3803135
DOM,3,5,145,585067
DOM,3,11,354,1425959
DOM,3,100,2424,9779980
DOM,3,271,931,3756706
DOM,3,15,2,6067
DOM,3,20,2,8089
DOM,3,60,6,24267
DOM,3,300,3,12134
DOM,3,800,8800,36225992
DOM,3,570,75,304505
DOM,3,13250,1706,6924399
DOM,3,1000,198,805652
DOM,3,9,18,74305
DOM,3,2167,552,2239288
DOM,3,18,32,131288
DOM,3,500,75,305808
